Day 72,WAX_wane,NOT USED,NOT USED,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Total
A,wane,,1,2,7,3,5,3,3,3,6,32
B,wane,,3,3,1,2,3,7,6,7,3,32
AB,wane,,,5,8,5,8,10,9,10,9,64
,wane,,,,,,,,,,,
C,wane,,2,6,4,1,4,6,5,0,6,32
D,wane,,4,5,5,6,3,4,2,5,2,32
CD,wane,,,11,9,7,7,10,7,5,8,64
,wane,,,,,,,,,,,
E,wane,,5,5,1,6,6,1,5,4,4,32
F,wane,,8,2,3,3,2,5,7,8,2,32
EF,wane,,,7,4,9,8,6,12,12,6,64
,wane,,,,,,,,,,,
G,wane,,6,4,4,4,6,4,1,2,7,32
H,wane,,7,5,7,7,3,2,3,3,2,32
GH,wane,,,9,11,11,9,6,4,5,9,64
